"Key","Issue Type","Parent","Summary","Status","Assignee","Start date","Due date"
"CESIEAT-18","Task","","Architecture et Conception - Epic","To Do","","2025/03/10","2025/03/16"
"CESIEAT-27","Sub-task","CESIEAT-18","Conception de l'architecture globale","To Do","","2025/03/10","2025/03/12"
"CESIEAT-28","Sub-task","CESIEAT-18","Définition des standards techniques","To Do","","2025/03/10","2025/03/10"
"CESIEAT-29","Sub-task","CESIEAT-18","Sélection des technologies et frameworks","To Do","","2025/03/13","2025/03/14"
"CESIEAT-30","Sub-task","CESIEAT-18","Conception des API REST","To Do","","2025/03/15","2025/03/16"
"CESIEAT-31","Sub-task","CESIEAT-18","Modélisation des données","To Do","","2025/03/15","2025/03/16"
"CESIEAT-32","Sub-task","CESIEAT-18","Design des composants réutilisables","To Do","","2025/03/10","2025/03/16"
"CESIEAT-20","Task","","DevOps et Infrastructure - Epic","To Do","","2025/03/17","2025/03/23"
"CESIEAT-41","Sub-task","CESIEAT-20","Configuration des environnements","To Do","","2025/03/17","2025/03/18"
"CESIEAT-42","Sub-task","CESIEAT-20","Mise en place du pipeline CI/CD","To Do","","2025/03/19","2025/03/20"
"CESIEAT-43","Sub-task","CESIEAT-20","Configuration des conteneurs Docker","To Do","","2025/03/19","2025/03/23"
"CESIEAT-44","Sub-task","CESIEAT-20","Orchestration avec Kubernetes","To Do","","2025/04/07","2025/04/13"
"CESIEAT-45","Sub-task","CESIEAT-20","Configuration du load balancing","To Do","","2025/04/07","2025/04/13"
"CESIEAT-46","Sub-task","CESIEAT-20","Mise en place du monitoring","To Do","","2025/04/07","2025/04/13"
"CESIEAT-47","Sub-task","CESIEAT-20","Configuration des backups","To Do","","2025/04/07","2025/04/13"
"CESIEAT-21","Task","","Base de Données - Epic","To Do","","2025/03/17","2025/03/25"
"CESIEAT-48","Sub-task","CESIEAT-21","Conception des schémas de BDD","To Do","","2025/03/17","2025/03/18"
"CESIEAT-49","Sub-task","CESIEAT-21","Configurer les BDD SQL et NoSQL","To Do","","2025/03/19","2025/03/25"
"CESIEAT-50","Sub-task","CESIEAT-21","Optimisation des requêtes","To Do","","2025/03/19","2025/03/25"
"CESIEAT-53","Sub-task","CESIEAT-21","Configuration des réplications","To Do","","2025/03/19","2025/03/25"
"CESIEAT-54","Sub-task","CESIEAT-21","Mise en place du caching","To Do","","2025/03/19","2025/03/25"
"CESIEAT-23","Task","","UX/UI - Epic","To Do","","2025/03/17","2025/03/25"
"CESIEAT-63","Sub-task","CESIEAT-23","Conception des maquettes","To Do","","2025/03/17","2025/03/23"
"CESIEAT-64","Sub-task","CESIEAT-23","Tests utilisateurs","To Do","","2025/03/18","2025/03/24"
"CESIEAT-66","Sub-task","CESIEAT-23","Respect des normes d'accessibilité","To Do","","2025/03/18","2025/03/24"
"CESIEAT-67","Sub-task","CESIEAT-23","Design responsive","To Do","","2025/03/18","2025/03/24"
"CESIEAT-68","Sub-task","CESIEAT-23","Création des assets graphiques","To Do","","2025/03/18","2025/03/24"
"CESIEAT-69","Sub-task","CESIEAT-23","Prototypage des interfaces","To Do","","2025/03/18","2025/03/20"
"CESIEAT-65","Sub-task","CESIEAT-23","Optimisation de l'expérience utilisateur","To Do","","2025/03/21","2025/03/25"
"CESIEAT-22","Task","","Tests et Qualité - Epic","To Do","","2025/03/21","2025/04/13"
"CESIEAT-25","Task","","Sécurité - Epic","To Do","","2025/03/24","2025/04/13"
"CESIEAT-19","Task","","Développement - Epic","To Do","","2025/03/24","2025/04/10"
"CESIEAT-26","Task","","Documentation - Epic","To Do","","2025/03/10","2025/04/13"
